id,visitor_id,page,time_spent,start_time
1,,HomePage,17.445138,2023-05-17 14:57:39.862133
2,,HomePage,53.692203,2023-05-22 09:34:50.469494
3,,HomePage,20.323475,2023-05-22 09:45:44.810762
4,,HomePage,16.94402,2023-05-23 14:16:47.175909
5,,HomePage,11.014777,2023-05-23 14:18:25.391630
6,,Quiz,78.083099,2023-05-23 14:18:36.431865
7,,HomePage,14.375179,2023-05-23 14:21:18.297682
8,,HomePage,4.180653,2023-05-23 14:24:40.701701
9,,HomePage,4.870181,2023-05-23 14:47:35.772210
10,,Quiz,4.302465,2023-05-23 14:47:40.658121
11,,Quiz,20.785579,2023-05-23 14:47:47.709495
12,,HomePage,4.086511,2023-05-23 15:06:20.240918
13,,Quiz,7.443501,2023-05-23 15:06:24.335793
14,,Quiz,19.142573,2023-05-23 15:06:31.781936
15,,HomePage,31.265613,2023-05-23 15:06:50.927842
16,,HomePage,14.256008,2023-05-23 15:15:56.808579
17,,Quiz,9.242537,2023-05-23 15:16:11.080460
18,,Quiz,14.413337,2023-05-23 15:16:20.326437
19,,HomePage,6.604541,2023-05-24 11:06:24.544166
20,,HomePage,4.23892,2023-05-24 14:01:28.993260
21,,HomePage,4.085815,2023-05-24 14:02:57.275871
22,,Quiz,8.406618,2023-05-24 14:03:01.368875
23,,Quiz,4.767472,2023-05-24 14:03:09.789463
24,,Quiz,18.967898,2023-05-24 14:03:14.562430
25,,HomePage,3.984265,2023-05-24 14:04:18.228080
26,,Quiz,12.103547,2023-05-24 14:04:22.224033
27,,HomePage,36.164423,2023-05-24 14:04:34.330668
28,,Quiz,10.228328,2023-05-24 14:05:10.504351
29,,HomePage,4.194763,2023-05-24 14:09:02.451707
30,,Quiz,9.403919,2023-05-24 14:09:06.655892
31,,HomePage,9.932417,2023-05-24 14:22:59.464989
32,,Quiz,51.59767,2023-05-24 14:23:09.408966
33,,HomePage,17.032904,2023-05-24 14:24:01.013247
34,,Quiz,24.789022,2023-05-24 14:24:18.051366
35,,HomePage,68.354633,2023-05-26 14:54:38.777333
36,,HomePage,25.194564,2023-05-26 15:02:19.999992
37,1234567890,HomePage,33.759189,2023-05-26 15:19:48.850183
