id,visitor_id,page,time_spent,start_time
1,,HomePage,17.445138,2023-05-17 14:57:39.862133
2,,HomePage,53.692203,2023-05-22 09:34:50.469494
3,,HomePage,20.323475,2023-05-22 09:45:44.810762
4,,HomePage,16.94402,2023-05-23 14:16:47.175909
5,,HomePage,11.014777,2023-05-23 14:18:25.391630
6,,Quiz,78.083099,2023-05-23 14:18:36.431865
7,,HomePage,14.375179,2023-05-23 14:21:18.297682
8,,HomePage,4.180653,2023-05-23 14:24:40.701701
9,,HomePage,4.870181,2023-05-23 14:47:35.772210
10,,Quiz,4.302465,2023-05-23 14:47:40.658121
11,,Quiz,20.785579,2023-05-23 14:47:47.709495
12,,HomePage,4.086511,2023-05-23 15:06:20.240918
13,,Quiz,7.443501,2023-05-23 15:06:24.335793
14,,Quiz,19.142573,2023-05-23 15:06:31.781936
15,,HomePage,31.265613,2023-05-23 15:06:50.927842
16,,HomePage,14.256008,2023-05-23 15:15:56.808579
17,,Quiz,9.242537,2023-05-23 15:16:11.080460
18,,Quiz,14.413337,2023-05-23 15:16:20.326437
